,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Solar,Waste,Wind Offshore,Wind Onshore
2021-09-01 00:00:00+02:00,78.2,52.92,555.14,16.858999999999998,0.0,131.87746,8.904,3.2009999999999996
2021-09-01 01:00:00+02:00,44.39,53.41,592.0400000000001,16.858999999999998,0.0,131.87746,8.040000000000001,2.8819999999999997
2021-09-01 02:00:00+02:00,47.61,52.92,586.3000000000001,16.858999999999998,0.041,138.333,6.204,3.223
2021-09-01 03:00:00+02:00,76.36,64.19,609.26,17.592,0.041,148.47742,3.66,3.135
2021-09-01 04:00:00+02:00,76.59,60.269999999999996,624.84,17.592,0.041,147.5552,2.04,2.937
2021-09-01 05:00:00+02:00,77.28,59.78,615.82,16.858999999999998,0.041,148.47742,1.008,2.6069999999999998
2021-09-01 06:00:00+02:00,85.33,63.21,633.86,17.592,0.164,147.5552,0.672,2.167
2021-09-01 07:00:00+02:00,86.71000000000001,70.07,642.0600000000001,16.858999999999998,2.5420000000000003,147.5552,0.708,1.8259999999999998
2021-09-01 08:00:00+02:00,83.49000000000001,73.5,633.86,19.058,8.815,148.47742,0.648,1.0999999999999999
2021-09-01 09:00:00+02:00,87.4,80.85,619.1,19.058,17.589000000000002,148.47742,0.18,1.254
2021-09-01 10:00:00+02:00,78.43,88.2,605.98,17.592,27.265,146.63298,0.216,1.111
2021-09-01 11:00:00+02:00,71.76,83.3,620.74,17.592,34.563,147.5552,0.444,0.9019999999999999
2021-09-01 12:00:00+02:00,72.45,80.85,593.6800000000001,16.858999999999998,39.36,147.5552,0.9,1.3639999999999999
2021-09-01 13:00:00+02:00,73.37,82.81,581.38,17.592,40.467,146.63298,1.872,2.2329999999999997
2021-09-01 14:00:00+02:00,77.28,79.87,596.1400000000001,16.858999999999998,38.991,147.5552,2.844,4.0809999999999995
2021-09-01 15:00:00+02:00,75.67,80.36,573.1800000000001,16.858999999999998,34.481,145.71076,3.42,6.204
2021-09-01 16:00:00+02:00,81.19,94.57,585.48,16.858999999999998,26.322000000000003,144.78854,3.72,7.0729999999999995
